DATE,PLXS,BWINB,HGIC,WTS,HTLD,PLAB,OFG,WSBC,CCC,SUR,BRY,CNMD,ACO,IMKTA,CBM,AIN,CHFC,COKE,GNCMA,LNN,VWMKT,RiskFree
11/4/1997,-0.035433073,0.018181818,0.148148148,0.024390245,0.030303028,0.083076919,0.044554457,0.066079298,-0.026041666,-3.83E-10,0.049833887,0.030674846,0.023809524,1.64E-09,0.011688312,-0.004950495,0.005952381,0.034482759,-0.024590162,-0.004385965,0.022641541,0.000938824
11/11/1997,-0.102040816,7.37E-10,-0.032258063,-0.019047621,-0.009803921,0.028409094,0.085308056,-0.030991739,-0.026737968,-0.012448132,0.015822785,0.041666668,-0.005813954,0.009259258,0.002308029,-0.022388061,-0.017751477,0.010416667,-0.042016807,-0.041116005,-0.018179112,0.000938824
11/18/1997,8.40E-10,0.019547072,-0.123809526,0.02669903,-0.044554455,0.02209945,0.008733625,0.010660982,-0.043956046,-0.021008405,0.009345795,-0.028571428,0.052631581,-0.064220183,-0.025641026,-0.035623408,-0.036144574,0.006185567,-0.035087722,0.01160138,0.010870026,0.000938824
11/25/1997,-0.045454545,0.032258064,-0.021739132,-0.023073284,-0.025906736,-0.040540539,0.028138529,-0.029535868,0.022988504,-0.004291845,-0.083333333,-0.06764706,0.02777778,0.04901961,-0.081578947,0.029023744,-0.004687499,0.008213518,-0.054545455,-0.012121212,0.007097568,0.000938824
12/2/1997,0.014285715,0.159090914,0.066666669,0.031553399,0.031914894,0.053521126,0.044210526,0.034782608,0.028089889,0.025862068,0.02020202,0.173501578,0.050000001,0.014018691,0.037249282,-0.007692308,0.086273157,0.010204082,-0.009615383,-0.018404908,0.020029267,0.000938824
12/9/1997,-0.262910803,0.078431369,-0.036458331,0.023529411,0.025773196,0.048128346,0.014112902,0.025210084,-0.038251368,0.029411763,0.00990099,0.061827956,-0.085833265,0.013824885,-0.005524862,-0.021577841,0.063953489,0.034343436,0.126213596,0.075000001,0.007206988,0.000957444
12/16/1997,0.197452232,-0.024999999,0.061928122,0.002298851,0.035175879,-0.091836741,-0.015904573,0.010792351,0.030207792,-0.024489795,-0.014514898,0.108860759,0.016949152,0.018181819,-0.002777779,-0.005305042,0.004098315,0.033203125,-0.03448276,-0.023255814,-0.014119288,0.000957444
12/23/1997,-0.367021274,-0.016317017,-0.051150895,0.018348623,-0.009708738,0.033707869,-0.034343435,-0.012244896,-0.044444444,-0.0167364,-0.073333334,-0.036529682,0.020833337,0.053571429,-0.013927577,-0.050666667,0.038571428,0.001890359,-0.071428573,0.005952381,-0.023511203,0.000957444
12/30/1997,-0.008403364,7.79E-10,0.018867922,0.020270271,0.058823529,0.035326086,0.004237288,0.02479339,0.023255814,0.038297874,-7.84E-10,0.033175355,0.020408163,-0.016949153,-0.005649717,0.036516854,-0.002751032,0.033962264,0.01923077,0.011834319,0.031962215,0.000957444
1/6/1998,-0.012711864,-0.151658768,-0.021164021,-0.022075055,0.041666667,-0.034120734,-0.00209205,-0.024193546,-0.045454545,0.012295082,-0.035971223,-0.061926604,-0.031999999,-0.077586208,0.090909092,-0.054200541,-0.028965518,0.00729927,0.009433963,-0.014619884,-0.002946263,0.000980096
1/13/1998,-0.025751074,-0.083798884,-0.070270271,-0.045146727,-0.075555558,-0.127717393,-0.004192872,-0.00413223,0.005952381,-0.016194332,-0.037313436,-0.11002445,-0.099173552,0.021885433,-0.089843749,0.017191977,-0.045454545,-0.061594203,-0.028037385,-0.045994065,-0.019343229,0.000980096
